rank,Country,worldPercentage,growthRate,density,CCA3,Capital,Continent,2023 Population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
181,Mayotte,0.0041771639208124794,0.0303,898.3824,MYT,Mamoudzou,Africa,335995.0,326101.0,305587.0,249545.0,211786.0,159215.0,92659.0,52233.0,35383.0,374.0
182,Vanuatu,0.004158652344514946,0.0238,27.441,VUT,Port-Vila,Oceania,334506.0,326740.0,311685.0,276438.0,245453.0,192074.0,150882.0,118156.0,87019.0,12189.0
183,French Guiana,0.0038807797845242325,0.0249,3.7369,GUF,Cayenne,South America,312155.0,304557.0,290969.0,257026.0,228453.0,164351.0,113931.0,66825.0,46484.0,83534.0
184,French Polynesia,0.003839964804682189,0.0085,88.9865,PYF,Papeete,Oceania,308872.0,306279.0,301920.0,291787.0,283788.0,250927.0,211089.0,163591.0,117891.0,4167.0
185,New Caledonia,0.003642528711209301,0.0105,16.028,NCL,Nouméa,Oceania,292991.0,289950.0,286403.0,283032.0,261426.0,221537.0,177264.0,148599.0,110982.0,18575.0
186,Barbados,0.0035058240147904434,0.0013,655.8023,BRB,Bridgetown,North America,281995.0,281635.0,280693.0,278083.0,274711.0,264657.0,258868.0,253575.0,241397.0,430.0
187,Sao Tome and Principe,0.0028824849120489835,0.0197,241.5167,STP,São Tomé,Africa,231856.0,227380.0,218641.0,201124.0,182138.0,143714.0,120343.0,97210.0,77583.0,964.0
188,Samoa,0.0028057159505733157,0.0148,81.1802,WSM,Apia,Oceania,225681.0,222382.0,214929.0,203571.0,194672.0,184008.0,168186.0,164905.0,142771.0,2842.0
189,Curacao,0.0023879436134998993,0.0048,432.6059,CUW,Willemstad,North America,192077.0,191163.0,189288.0,169572.0,159380.0,141424.0,155446.0,156851.0,150385.0,444.0
190,Saint Lucia,0.0022409201740810733,0.0022,295.4934,LCA,Castries,North America,180251.0,179857.0,179237.0,175623.0,170935.0,159500.0,142301.0,121633.0,103090.0,616.0
191,Guam,0.0021501773967837613,0.0069,320.2815,GUM,Hagåtña,Oceania,172952.0,171774.0,169231.0,167978.0,164905.0,160188.0,138263.0,110286.0,88300.0,549.0
192,Kiribati,0.0016598879176394831,0.0174,164.8333,KIR,Tarawa,Oceania,133515.0,131232.0,126463.0,116707.0,107995.0,88826.0,75124.0,60813.0,57437.0,811.0
193,Grenada,0.001568734877066269,0.0059,371.1265,GRD,Saint George's,North America,126183.0,125438.0,123663.0,118980.0,114039.0,107432.0,99047.0,94838.0,98794.0,344.0
194,Micronesia,0.0014324901728052415,0.0093,164.6057,FSM,Palikir,Oceania,115224.0,114164.0,112106.0,109462.0,107588.0,111709.0,98603.0,76299.0,58989.0,702.0
195,Jersey,0.0013899471143162154,0.0092,931.6833,JEY,Saint Helier,Europe,111802.0,110778.0,108319.0,100561.0,96151.0,86192.0,82874.0,75124.0,68347.0,116.0
196,Tonga,0.0013398576979946825,0.0086,149.6847,TON,Nuku‘alofa,Oceania,107773.0,106858.0,105254.0,106122.0,107383.0,102603.0,98727.0,96708.0,86484.0,747.0
197,Seychelles,0.001338452857080229,0.0051,234.0435,SYC,Victoria,Africa,107660.0,107118.0,105530.0,99240.0,92409.0,80060.0,71057.0,65290.0,54379.0,452.0
198,Aruba,0.0013212590961537757,-0.0016,590.4278,ABW,Oranjestad,North America,106277.0,106445.0,106585.0,104257.0,100341.0,89101.0,65712.0,62267.0,59106.0,180.0
199,Saint Vincent and the Grenadines,0.0012891963995309826,-0.0024,265.8923,VCT,Kingstown,North America,103698.0,103948.0,104632.0,106482.0,109308.0,113813.0,112487.0,107480.0,98459.0,389.0
200,United States Virgin Islands,0.001227681772586593,-0.0072,284.5821,VIR,Charlotte Amalie,North America,98750.0,99465.0,100442.0,102803.0,106142.0,108185.0,100685.0,96640.0,63446.0,347.0
201,Antigua and Barbuda,0.0011723335270012209,0.0057,214.3136,ATG,Saint John’s,North America,94298.0,93763.0,92664.0,89941.0,85695.0,75055.0,63328.0,64888.0,64516.0,442.0
202,Isle of Man,0.0010531333970208638,0.0023,148.614,IMN,Douglas,Europe,84710.0,84519.0,84046.0,83593.0,83828.0,75562.0,68865.0,64022.0,55298.0,572.0
203,Andorra,0.0009956716739535703,0.0033,170.4,AND,Andorra la Vella,Europe,80088.0,79824.0,77700.0,71746.0,71519.0,66097.0,53569.0,35611.0,19860.0,468.0
204,Dominica,0.0009080493839972128,0.0042,97.3867,DMA,Roseau,North America,73040.0,72737.0,71995.0,70007.0,68755.0,68346.0,69481.0,72978.0,68895.0,751.0
205,Cayman Islands,0.0008616772015997647,0.0088,288.7917,CYM,George Town,North America,69310.0,68706.0,67311.0,60911.0,54074.0,39658.0,26027.0,17100.0,10533.0,264.0
206,Bermuda,0.0007965199340541815,-0.0018,1186.463,BMU,Hamilton,North America,64069.0,64184.0,64031.0,63144.0,63447.0,61371.0,57470.0,53565.0,52019.0,54.0
207,Guernsey,0.0007899930183011896,0.0038,1008.6349,GGY,Saint Peter Port,Europe,63544.0,63301.0,62794.0,61629.0,60782.0,59114.0,57727.0,52860.0,52656.0,78.0
208,Greenland,0.0007041982647556698,0.0031,0.138,GRL,Nuuk,North America,56643.0,56466.0,56026.0,55895.0,56351.0,56184.0,55599.0,50106.0,45434.0,2166086.0
209,Faroe Islands,0.0006622643850702564,0.0034,38.9971,FRO,Tórshavn,Europe,53270.0,53090.0,52415.0,48816.0,48410.0,45660.0,47479.0,43054.0,38416.0,1393.0
210,Northern Mariana Islands,0.000619074851116172,0.0049,108.2522,NFK,Saipan,Oceania,49796.0,49551.0,49587.0,51514.0,54087.0,80338.0,48002.0,17613.0,10143.0,464.0
211,Saint Kitts and Nevis,0.0005937006891126354,0.0021,183.6731,KNA,Basseterre,North America,47755.0,47657.0,47642.0,47790.0,47403.0,45461.0,40636.0,43097.0,44968.0,261.0
212,Turks and Caicos Islands,0.0005726529398367964,0.0079,48.5886,TCA,Cockburn Town,North America,46062.0,45703.0,44276.0,36538.0,29726.0,18744.0,11709.0,7598.0,5665.0,948.0
213,Sint Maarten,0.0005497776541501197,0.0011,1300.6471,SXM,Philipsburg,North America,44222.0,44175.0,43621.0,40205.0,33034.0,30489.0,27845.0,12243.0,6260.0,34.0
214,American Samoa,0.0005459485302416976,-0.0081,219.57,ASM,Pago Pago,Oceania,43914.0,44273.0,46189.0,51368.0,54849.0,58230.0,47818.0,32886.0,27075.0,199.0
215,Marshall Islands,0.0005221035313574335,0.0103,233.3111,MHL,Majuro,Oceania,41996.0,41569.0,43413.0,49410.0,53416.0,54224.0,46047.0,31988.0,23969.0,181.0
216,Liechtenstein,0.0004921170155551159,0.0065,247.4,LIE,Vaduz,Europe,39584.0,39327.0,38756.0,37355.0,35926.0,33026.0,28765.0,25003.0,21089.0,160.0
217,Monaco,0.000451252306831145,-0.0047,18148.5,MCO,Monaco,Europe,36297.0,36469.0,36922.0,36760.0,33178.0,32465.0,30329.0,27076.0,24270.0,2.0
218,San Marino,0.00041824476145172824,-0.0005,560.7,SMR,San Marino,Europe,33642.0,33660.0,34007.0,33570.0,31608.0,0.0,23132.0,21346.0,18169.0,61.0
219,Gibraltar,0.0004063844231120057,0.0012,4807.0588,GIB,Gibraltar,Europe,32688.000000000004,32649.0,32709.0,32520.0,31262.0,27741.0,27317.0,28734.0,26685.0,6.0
220,Saint Martin,0.0003987883363975711,0.009,641.54,MAF,Marigot,North America,32077.0,31791.0,32552.0,35020.0,36458.0,29610.0,28127.0,7776.0,5802.0,53.0
221,British Virgin Islands,0.00039208736955783263,0.0074,210.2533,VGB,Road Town,North America,31538.0,31305.0,30910.0,29366.0,27556.0,20104.0,15617.0,11109.0,9581.0,151.0
222,Palau,0.0002245010374619615,0.0002,39.2565,PLW,Ngerulmud,Oceania,18058.0,0.0,17972.0,17794.0,18540.0,19726.0,15293.0,12252.0,11366.0,459.0
223,Cook Islands,0.0002118947658933255,0.0019,71.0167,COK,Avarua,Oceania,17044.0,17011.0,17029.0,17695.0,17212.0,15897.0,17123.0,17651.0,20470.0,236.0
224,Anguilla,0.00019765987344156198,0.0026,174.7143,AIA,The Valley,North America,15899.0,15857.0,15585.0,14525.0,13172.0,11047.0,8316.0,6560.0,6283.0,91.0
225,Nauru,0.00015888377775854845,0.0088,639.0,NRU,Yaren,Oceania,12780.0,12668.0,12315.0,11185.0,10241.0,10377.0,9598.0,7635.0,6663.0,21.0
226,Wallis and Futuna,0.0001429953999826936,-0.006,41.9781,WLF,Mata-Utu,Oceania,11502.0,11572.0,11655.0,12182.0,13142.0,14723.0,13454.0,11315.0,9377.0,142.0
227,Tuvalu,0.00014167758461161332,0.0074,379.8667,TUV,Funafuti,Oceania,11396.0,11312.0,11069.0,10877.0,10550.0,9638.0,9182.0,7731.0,5814.0,26.0
228,Saint Barthelemy,0.0001366798319778937,0.0025,439.76,BLM,Gustavia,North America,10994.0,10967.0,10681.0,9643.0,8988.0,7082.0,5168.0,2983.0,2417.0,21.0
229,Saint Pierre and Miquelon,7.260416761423498e-05,-0.0038,24.1322,SPM,Saint-Pierre,North America,5840.0,5862.0,5906.0,5978.0,6052.0,6274.0,6324.0,6106.0,5537.0,242.0
230,Montserrat,5.452771903356757e-05,-0.0009,43.0,MSR,Brades,North America,4386.0,4390.0,4500.0,5059.0,4938.0,5138.0,10805.0,11452.0,11402.0,102.0
231,Falkland Islands,4.713054784684329e-05,0.0029,0.3114,FLK,Stanley,South America,3791.0,3780.0,3747.0,3408.0,3187.0,3080.0,2332.0,2240.0,2274.0,12173.0
232,Niue,2.405634663245628e-05,0.0005,7.4138,NIU,Alofi,Oceania,1935.0,1934.0,1942.0,1847.0,1812.0,2074.0,2533.0,3637.0,5185.0,260.0
233,Tokelau,2.353419337221692e-05,0.0118,189.3,TKL,Nukunonu,Oceania,1893.0,1871.0,1827.0,1454.0,1367.0,1666.0,1669.0,1647.0,1714.0,12.0
234,Vatican City,6.439890209618787e-06,0.0157,1177.2727,VAT,Vatican City,Europe,518.0,510.0,520.0,564.0,596.0,651.0,700.0,733.0,752.0,1.0
