rank,Country,worldPercentage,growthRate,density,CCA3,Capital,Continent,2023 Population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
78,Burundi,0.16458468435050325,0.0271,515.5202,BDI,Bujumbura,Africa,13238559.0,12889576.0,12220227.0,10727148.0,9126605.0,6307659.0,5483793.0,4312834.0,3497834.0,27834.0
79,Tunisia,0.15488337514854747,0.0083,80.1894,TUN,Tunis,Africa,12458223.0,12356117.0,12161723.0,11557779.0,10895063.0,9893316.0,8440023.0,6578156.0,5047404.0,163610.0
80,Bolivia,0.1540174461275429,0.0135,11.436,BOL,Sucre,South America,12388571.0,12224110.0,11936162.0,11090085.0,10223270.0,8592656.0,7096194.0,5736088.0,4585693.0,1098581.0
81,Haiti,0.14576483871390078,0.0121,425.4268,HTI,Port-au-Prince,North America,11724763.0,11584996.0,11306801.0,10563757.0,9842880.0,8360225.0,6925331.0,5646676.0,4680812.0,27750.0
82,Belgium,0.14528466906222876,0.0026,385.9359,BEL,Brussels,Europe,11686140.0,11655930.0,11561717.0,11248303.0,10877947.0,10264343.0,9959560.0,9828986.0,9629376.0,30528.0
83,Jordan,0.14094473007864688,0.0045,127.6781,JOR,Amman,Asia,11337052.0,11285869.0,10928721.0,9494246.0,6931258.0,5056174.0,3480587.0,2216903.0,1557374.0,89342.0
84,Dominican Republic,0.14089400661908077,0.0093,234.5885,DOM,Santo Domingo,North America,11332972.0,11228821.0,10999664.0,10405832.0,9775755.0,8540791.0,7129004.0,5755800.0,4475871.0,48671.0
85,Cuba,0.13917185814126798,-0.0016,107.8463,CUB,Havana,North America,11194449.0,11212191.0,11300698.0,11339894.0,11290417.0,11105791.0,10626680.0,9809107.0,8869636.0,109884.0
86,South Sudan,0.1378583567506949,0.0161,17.5475,SSD,Juba,Africa,11088796.0,10913164.0,10606227.0,11194299.0,0.0,6114440.0,4750817.0,4192011.0,3342410.0,619745.0
87,Sweden,0.13193179292477333,0.0059,26.0558,SWE,Stockholm,Europe,10612086.0,10549347.0,10368969.0,9849349.0,9381729.0,8871043.0,8548406.0,8311763.0,8027702.0,450295.0
88,Honduras,0.13170443247660057,0.0154,94.6805,HND,Tegucigalpa,North America,10593798.0,10432860.0,10121763.0,9294505.0,8450933.0,6656725.0,5053234.0,3777990.0,2782753.0,112492.0
